ID Real Estate Taxes Paid,Real Estate Taxes Paid,ID Year,Year,Real Estate Taxes by Mortgage,Real Estate Taxes by Mortgage Moe,Geography,ID Geography,Slug Geography,share
0,"Less Than $800",2019,"2019",11116778,38560.90797686175,"United States","01000US","united-states",0.14386110708541294
1,"$800 to $1,499",2019,"2019",12864206,49109.35984107306,"United States","01000US","united-states",0.16647439725204657
2,"$1,500 to $1,999",2019,"2019",7474286,34161.31920754817,"United States","01000US","united-states",0.09672398411059417
3,"$2,000 to $2,999",2019,"2019",11877218,47802.053188121536,"United States","01000US","united-states",0.15370188471648838
4,"$3,000 or More",2019,"2019",30755160,118969.237826423,"United States","01000US","united-states",0.39799943528502674
5,"No Real Estate Taxes Paid",2019,"2019",3186733,19969.552548817916,"United States","01000US","united-states",0.04123919155043118
0,"Less Than $800",2019,"2019",8317,578.7711119259495,"Flint, MI","16000US2629000","flint-mi",0.3621598084040932
1,"$800 to $1,499",2019,"2019",9168,633.4390262685115,"Flint, MI","16000US2629000","flint-mi",0.3992161985630307
2,"$1,500 to $1,999",2019,"2019",1873,290.03792855418067,"Flint, MI","16000US2629000","flint-mi",0.08155889396908339
3,"$2,000 to $2,999",2019,"2019",1471,288.8754056682569,"Flint, MI","16000US2629000","flint-mi",0.06405399521010233
4,"$3,000 or More",2019,"2019",965,269.2582403567252,"Flint, MI","16000US2629000","flint-mi",0.042020465926409754
5,"No Real Estate Taxes Paid",2019,"2019",1171,228.4316090211685,"Flint, MI","16000US2629000","flint-mi",0.050990637927280646
0,"Less Than $800",2018,"2018",11635164,42964.70514270988,"United States","01000US","united-states",0.1522034523991884
1,"$800 to $1,499",2018,"2018",13267983,48866.32648358172,"United States","01000US","united-states",0.17356290113089431
2,"$1,500 to $1,999",2018,"2018",7253924,32426.08340518478,"United States","01000US","united-states",0.0948909939078925
3,"$2,000 to $2,999",2018,"2018",11924270,50360.791544613356,"United States","01000US","united-states",0.15598534419799068
4,"$3,000 or More",2018,"2018",29172423,107057.67718851367,"United States","01000US","united-states",0.3816141736764079
5,"No Real Estate Taxes Paid",2018,"2018",3191046,18804.818797318945,"United States","01000US","united-states",0.04174313468762628
0,"Less Than $800",2018,"2018",7886,519.0240842196054,"Flint, MI","16000US2629000","flint-mi",0.35806393025790045
1,"$800 to $1,499",2018,"2018",8401,556.5941070474965,"Flint, MI","16000US2629000","flint-mi",0.3814475118053033
2,"$1,500 to $1,999",2018,"2018",1710,283.5507009337131,"Flint, MI","16000US2629000","flint-mi",0.07764257173992009
3,"$2,000 to $2,999",2018,"2018",1732,262.2403477728017,"Flint, MI","16000US2629000","flint-mi",0.07864148201961496
4,"$3,000 or More",2018,"2018",927,249.38724907260195,"Flint, MI","16000US2629000","flint-mi",0.0420904467853251
5,"No Real Estate Taxes Paid",2018,"2018",1368,227.37853900489378,"Flint, MI","16000US2629000","flint-mi",0.06211405739193607
0,"Less Than $800",2017,"2017",12180473,41910.65273889206,"United States","01000US","united-states",0.16062204206643968
1,"$800 to $1,499",2017,"2017",13486917,50943.805315268706,"United States","01000US","united-states",0.17784992009099979
2,"$1,500 to $1,999",2017,"2017",7370334,32559.669070799842,"United States","01000US","united-states",0.09719147177549761
3,"$2,000 to $2,999",2017,"2017",11752005,47753.8796434384,"United States","01000US","united-states",0.1549718998166171
4,"$3,000 or More",2017,"2017",27833151,98722.03233321322,"United States","01000US","united-states",0.3670315225659601
5,"No Real Estate Taxes Paid",2017,"2017",3210255,18283.512381377925,"United States","01000US","united-states",0.04233314368448568
0,"Less Than $800",2017,"2017",8202,504.50966294016615,"Flint, MI","16000US2629000","flint-mi",0.3592641261498029
1,"$800 to $1,499",2017,"2017",8357,629.686429899835,"Flint, MI","16000US2629000","flint-mi",0.36605343845816907
2,"$1,500 to $1,999",2017,"2017",1947,302.3722870899382,"Flint, MI","16000US2629000","flint-mi",0.08528252299605782
3,"$2,000 to $2,999",2017,"2017",1798,289.99999999999994,"Flint, MI","16000US2629000","flint-mi",0.07875602277704774
4,"$3,000 or More",2017,"2017",1000,234.18368858654526,"Flint, MI","16000US2629000","flint-mi",0.043802014892685065
5,"No Real Estate Taxes Paid",2017,"2017",1526,258.21309029559285,"Flint, MI","16000US2629000","flint-mi",0.06684187472623741
0,"Less Than $800",2016,"2016",12531747,45777.658306208716,"United States","01000US","united-states",0.16735534541254138
1,"$800 to $1,499",2016,"2016",13602086,53076.79362018772,"United States","01000US","united-states",0.18164919869999718
2,"$1,500 to $1,999",2016,"2016",7445603,31198.373835826766,"United States","01000US","united-states",0.09943238256163761
3,"$2,000 to $2,999",2016,"2016",11663686,47806.785480724386,"United States","01000US","united-states",0.1557628157760784
4,"$3,000 or More",2016,"2016",26506698,95975.3177540976,"United States","01000US","united-states",0.3539839736260172
5,"No Real Estate Taxes Paid",2016,"2016",3131248,19009.20306062303,"United States","01000US","united-states",0.04181628392372822
0,"Less Than $800",2016,"2016",8469,548.0328457309836,"Flint, MI","16000US2629000","flint-mi",0.3789261744966443
1,"$800 to $1,499",2016,"2016",7535,494.6362299710768,"Flint, MI","16000US2629000","flint-mi",0.3371364653243848
2,"$1,500 to $1,999",2016,"2016",2237,296.346081465573,"Flint, MI","16000US2629000","flint-mi",0.10008948545861297
3,"$2,000 to $2,999",2016,"2016",1869,278.64134653708516,"Flint, MI","16000US2629000","flint-mi",0.0836241610738255
4,"$3,000 or More",2016,"2016",811,212.75807857752432,"Flint, MI","16000US2629000","flint-mi",0.036286353467561525
5,"No Real Estate Taxes Paid",2016,"2016",1429,229.10696191953662,"Flint, MI","16000US2629000","flint-mi",0.06393736017897092
0,"Less Than $800",2015,"2015",12879501,48935.47736560869,"United States","01000US","united-states",0.1723884424543813
1,"$800 to $1,499",2015,"2015",13777456,51066.01752633546,"United States","01000US","united-states",0.18440731367028665
2,"$1,500 to $1,999",2015,"2015",7381394,32851.843616454775,"United States","01000US","united-states",0.0987978505380073
3,"$2,000 to $2,999",2015,"2015",11823238,48189.1236276403,"United States","01000US","united-states",0.15825066387179554
4,"$3,000 or More",2015,"2015",25749921,90398.20937385873,"United States","01000US","united-states",0.34465533831732803
5,"No Real Estate Taxes Paid",2015,"2015",3100581,19015.709715916466,"United States","01000US","united-states",0.041500391148201164
0,"Less Than $800",2015,"2015",8117,556.7710480978694,"Flint, MI","16000US2629000","flint-mi",0.36163956337714415
1,"$800 to $1,499",2015,"2015",7429,519.781684940899,"Flint, MI","16000US2629000","flint-mi",0.3309868567609713
2,"$1,500 to $1,999",2015,"2015",2457,309.0906016041251,"Flint, MI","16000US2629000","flint-mi",0.10946758743595456
3,"$2,000 to $2,999",2015,"2015",2162,313.6000637755037,"Flint, MI","16000US2629000","flint-mi",0.09632434840721764
4,"$3,000 or More",2015,"2015",863,211.85136298829897,"Flint, MI","16000US2629000","flint-mi",0.038449543328135445
5,"No Real Estate Taxes Paid",2015,"2015",1417,225.88713996153035,"Flint, MI","16000US2629000","flint-mi",0.06313210069057697
0,"Less Than $800",2014,"2014",13084968,48472.84374781409,"United States","01000US","united-states",0.17496205914734902
1,"$800 to $1,499",2014,"2014",13717368,51747.27915552662,"United States","01000US","united-states",0.183418022219233
2,"$1,500 to $1,999",2014,"2014",7542643,34096.920124844124,"United States","01000US","united-states",0.10085438120241014
3,"$2,000 to $2,999",2014,"2014",11891354,42869.47282157783,"United States","01000US","united-states",0.1590019770694178
4,"$3,000 or More",2014,"2014",25480506,87258.29093558961,"United States","01000US","united-states",0.3407055942266257
5,"No Real Estate Taxes Paid",2014,"2014",3070621,17287.79826929965,"United States","01000US","united-states",0.04105796613496434
0,"Less Than $800",2014,"2014",7699,487.11087033651796,"Flint, MI","16000US2629000","flint-mi",0.3426193760847314
1,"$800 to $1,499",2014,"2014",7816,493.08924141579075,"Flint, MI","16000US2629000","flint-mi",0.34782608695652173
2,"$1,500 to $1,999",2014,"2014",2423,300.04166377354994,"Flint, MI","16000US2629000","flint-mi",0.10782786702861466
3,"$2,000 to $2,999",2014,"2014",2227,286.2621176474456,"Flint, MI","16000US2629000","flint-mi",0.09910551377330781
4,"$3,000 or More",2014,"2014",968,227.74766738651792,"Flint, MI","16000US2629000","flint-mi",0.043077744648658274
5,"No Real Estate Taxes Paid",2014,"2014",1338,212.80037593951755,"Flint, MI","16000US2629000","flint-mi",0.05954341150816608
0,"Less Than $800",2013,"2013",13204671,48677.49545734661,"United States","01000US","united-states",0.17588475365531056
1,"$800 to $1,499",2013,"2013",13902212,52861.0580389761,"United States","01000US","united-states",0.18517592243562164
2,"$1,500 to $1,999",2013,"2013",7668065,32567.909435516427,"United States","01000US","united-states",0.10213777560515586
3,"$2,000 to $2,999",2013,"2013",12013726,47260.06468467854,"United States","01000US","united-states",0.16002149830104814
4,"$3,000 or More",2013,"2013",25327452,91498.30479850432,"United States","01000US","united-states",0.3373588524649121
5,"No Real Estate Taxes Paid",2013,"2013",2959574,15983.608666380693,"United States","01000US","united-states",0.039421197537951695
0,"Less Than $800",2013,"2013",7913,570.0219294027204,"Flint, MI","16000US2629000","flint-mi",0.341430790472903
1,"$800 to $1,499",2013,"2013",8125,525.3808142671371,"Flint, MI","16000US2629000","flint-mi",0.3505781843286158
2,"$1,500 to $1,999",2013,"2013",2687,325.65165437933825,"Flint, MI","16000US2629000","flint-mi",0.11593890231273732
3,"$2,000 to $2,999",2013,"2013",2131,279.46019394539894,"Flint, MI","16000US2629000","flint-mi",0.09194856748360372
4,"$3,000 or More",2013,"2013",979,197.91412279066898,"Flint, MI","16000US2629000","flint-mi",0.04224197445633414
5,"No Real Estate Taxes Paid",2013,"2013",1341,224.8288237748888,"Flint, MI","16000US2629000","flint-mi",0.057861580945806006